Date & Time,Carbon Dioxide (PPM),Carbon Monoxide (PPM),Nitrogen Dioxide (PPM),Temperature (Deg C),Humidity (%RH),Barometric Pressure (mb),Relative Pressure (mb)
22/06/2018 - 16:58,516,0.62,28.97,29.8,52.24,903.81,1103.86
22/06/2018 - 16:58,495,0.52,30.93,29.98,52.62,903.8,1103.85
22/06/2018 - 16:59,456,0.63,28.25,30.16,52.56,903.91,1103.98
22/06/2018 - 16:59,427,0.66,28.79,30.24,52.46,903.9,1103.96
22/06/2018 - 17:00,408,0.49,30.57,30.35,52.31,903.91,1103.97
22/06/2018 - 17:00,356,0.49,32.44,30.61,51.98,903.86,1103.91
22/06/2018 - 17:01,349,0.52,31.97,30.86,51.7,903.89,1103.95
22/06/2018 - 17:01,354,0.52,35.64,31.03,51.46,903.86,1103.91
22/06/2018 - 17:02,354,0.48,34.48,31.21,51.24,903.88,1103.94
22/06/2018 - 17:02,348,0.51,31.24,31.34,51.1,903.9,1103.97
22/06/2018 - 17:03,342,0.17,32.87,31.45,51.09,903.83,1103.88
22/06/2018 - 17:03,348,0.14,33.18,31.6,50.99,903.86,1103.92
22/06/2018 - 17:04,345,0.61,40.27,31.66,50.98,903.79,1103.83
22/06/2018 - 17:05,342,0.440,33.500,31.960,51.030,903.830,1103.880
22/06/2018 - 17:06,341,0.560,27.580,32.050,50.860,903.770,1103.810
22/06/2018 - 17:06,319,0.580,28.080,32.130,50.720,903.790,1103.840
22/06/2018 - 17:07,316,0.570,31.840,32.190,50.620,903.790,1103.830
22/06/2018 - 17:07,319,0.530,63.280,32.250,50.540,903.800,1103.840
22/06/2018 - 17:08,332,0.500,29.010,32.310,50.270,903.750,1103.780
22/06/2018 - 17:08,335,0.610,48.360,32.410,50.120,903.770,1103.800
22/06/2018 - 17:09,339,0.680,33.360,32.470,50.060,903.760,1103.790
22/06/2018 - 17:09,334,0.540,35.560,32.470,49.990,903.770,1103.800
22/06/2018 - 17:10,329,0.510,31.700,32.530,49.920,903.770,1103.800
22/06/2018 - 17:10,343,0.560,33.300,32.570,49.880,903.750,1103.780
22/06/2018 - 17:11,401,0.590,33.410,32.640,49.710,903.740,1103.770
22/06/2018 - 17:11,381,0.540,32.480,32.720,49.340,903.720,1103.750
22/06/2018 - 17:12,357,0.140,31.900,32.760,49.080,903.770,1103.800
22/06/2018 - 17:12,343,0.520,35.700,32.840,48.850,903.780,1103.820
22/06/2018 - 17:13,352,0.580,39.520,32.930,48.640,903.770,1103.800
22/06/2018 - 17:13,357,0.200,36.720,32.850,48.570,903.820,1103.860
22/06/2018 - 17:14,349,0.160,31.330,32.880,48.510,903.790,1103.830
22/06/2018 - 17:14,331,0.650,32.120,32.930,48.530,903.820,1103.870
22/06/2018 - 17:15,348,0.660,39.000,32.990,48.500,903.830,1103.880
22/06/2018 - 17:15,303,0.630,36.660,33.030,48.430,903.850,1103.900
22/06/2018 - 17:16,281,0.390,38.250,33.070,48.420,903.880,1103.940
22/06/2018 - 17:16,327,0.620,37.570,33.090,48.350,903.840,1103.900
22/06/2018 - 17:17,335,0.580,37.840,33.100,48.180,903.830,1103.880
22/06/2018 - 17:17,301,0.600,35.380,33.140,48.050,903.850,1103.910
22/06/2018 - 17:18,327,0.640,36.690,33.180,48.020,903.790,1103.830
22/06/2018 - 17:18,343,0.610,63.250,33.160,48.020,903.830,1103.870
22/06/2018 - 17:19,352,0.570,30.480,33.180,47.910,903.790,1103.830
22/06/2018 - 17:19,342,0.620,30.040,33.180,47.850,903.830,1103.880
22/06/2018 - 17:20,320,0.610,30.680,33.260,47.760,903.740,1103.770
22/06/2018 - 17:20,334,0.630,30.710,33.270,47.730,903.730,1103.760
22/06/2018 - 17:21,359,0.630,31.110,33.310,47.730,903.800,1103.840
22/06/2018 - 17:21,324,0.630,35.220,33.320,47.730,903.780,1103.820
22/06/2018 - 17:22,329,0.600,35.830,33.310,47.730,903.750,1103.780
22/06/2018 - 17:22,344,0.170,35.160,33.270,47.870,903.710,1103.730
22/06/2018 - 17:23,357,0.620,37.400,33.310,47.800,903.750,1103.780
22/06/2018 - 17:23,352,0.600,39.310,33.350,47.690,903.760,1103.790
22/06/2018 - 17:24,344,0.550,32.490,33.390,47.520,903.690,1103.710
22/06/2018 - 17:24,344,0.140,33.740,33.340,47.290,903.720,1103.740
22/06/2018 - 17:25,338,0.560,33.830,33.400,47.150,903.710,1103.730
22/06/2018 - 17:25,353,0.610,32.810,33.420,47.080,903.700,1103.720
22/06/2018 - 17:26,301,0.590,31.700,33.430,47.250,903.670,1103.680
22/06/2018 - 17:27,396,0.800,33.820,33.460,47.310,903.700,1103.720
22/06/2018 - 17:27,379,0.660,34.750,33.490,47.310,903.700,1103.720
22/06/2018 - 17:28,374,0.590,36.090,33.530,47.340,903.650,1103.660
22/06/2018 - 17:29,363,0.610,33.090,33.550,47.310,903.660,1103.670
22/06/2018 - 17:29,360,0.620,33.690,33.560,47.270,903.670,1103.680
22/06/2018 - 17:31,341,0.250,34.040,33.590,47.340,903.680,1103.690
22/06/2018 - 17:31,352,0.600,35.080,33.570,47.270,903.680,1103.700
22/06/2018 - 17:32,350,0.660,37.190,33.600,47.340,903.770,1103.810
22/06/2018 - 17:32,357,0.600,37.860,33.610,47.310,903.760,1103.790
22/06/2018 - 17:33,359,0.600,35.940,33.610,47.310,903.740,1103.770
22/06/2018 - 17:33,356,0.510,35.030,33.620,47.270,903.710,1103.730
22/06/2018 - 17:34,351,0.560,32.430,33.660,47.200,903.760,1103.790
22/06/2018 - 17:34,347,0.560,35.470,33.630,47.240,903.680,1103.700
22/06/2018 - 17:35,350,0.570,36.030,33.640,47.240,903.710,1103.740
